Date,Value
04/17,837.169983
03/17,829.559998
02/17,823.210022
01/17,796.789978
12/16,771.820007
11/16,758.039978
10/16,784.539978
09/16,777.289978
08/16,767.049988
07/16,768.789978
06/16,692.099976
05/16,735.719971
04/16,693.01001
03/16,744.950012
02/16,697.77002
01/16,742.950012
12/15,758.880005
11/15,742.599976
10/15,710.809998
09/15,608.419983
08/15,618.25
07/15,625.609985
06/15,520.51001
05/15,532.109985
04/15,537.340027
03/15,548.002441
02/15,558.402527
01/15,534.522461
12/14,526.402405
11/14,541.832458
10/14,559.08252
09/14,577.36261
08/14,571.6026
07/14,571.6026
06/14,575.282593
05/14,559.892578
04/14,526.662415
03/14,556.972473
02/14,607.218811
01/14,589.896118
12/13,559.796204
11/13,529.266602
10/13,514.776123
09/13,437.51825
08/13,423.02771
07/13,443.432343
06/13,439.746002
05/13,435.175598
04/13,411.87384
03/13,396.698975
02/13,400.2005
01/13,377.46817
12/12,353.33728
11/12,348.836761
10/12,339.81076
09/12,376.873779
08/12,342.203369
07/12,316.169373
06/12,289.745758
05/12,290.14035
04/12,302.123413
03/12,320.300262
02/12,308.816711
01/12,289.765747
12/11,322.62793
11/11,299.396118
10/11,296.024475
09/11,257.263184
08/11,270.210266
07/11,301.543976
06/11,252.9375
05/11,264.246216
04/11,271.778687
03/11,293.087433
02/11,306.394135
01/11,299.880646
12/10,296.688812
11/10,277.577881
10/10,306.543976
09/10,262.632843
08/10,224.785599
07/10,242.183243
06/10,222.253128
05/10,242.572845
04/10,262.58786
03/10,283.277222
02/10,263.137329
01/10,264.70575
12/09,309.680847
11/09,291.20929
10/09,267.792664
09/09,247.67775
08/09,230.604797
07/09,221.304077
06/09,210.584778
05/09,208.406952
04/09,197.787552
03/09,173.856445
02/09,168.826477
01/09,169.096191
12/08,153.6716
11/08,146.333923
10/08,179.500809
09/08,200.060287
08/08,231.413986
07/08,236.638763
06/08,262.94751
05/08,292.60791
04/08,286.858643
03/08,220.01535
02/08,235.355057
01/08,281.868622
12/07,345.395203
11/07,346.154449
10/07,353.147461
09/07,283.352142
08/07,257.368073
07/07,254.745682
06/07,261.089355
05/07,248.706726
04/07,235.454956
03/07,228.851547
02/07,224.500885
01/07,250.499939
12/06,230.010391
11/06,242.163254
10/06,237.957458
09/06,200.749588
08/06,189.076248
07/06,193.107224
06/06,209.455902
05/06,185.724594
04/06,208.761597
03/06,194.805527
02/06,181.129181
01/06,216.114258
12/05,207.223145
11/05,202.253098
10/05,185.88443
09/05,158.072205
08/05,142.857391
07/05,143.736511
06/05,146.928329
05/05,138.49675
04/05,109.890297
03/05,90.164993
02/05,93.90126
01/05,97.712456
12/04,96.298866
11/04,90.899261
10/04,95.224937
09/04,64.735374
08/04,51.133953
